publication_number,title,url,code,number_of_cited_by
US-4816567-A,Recombinant immunoglobin preparations,https://patents.google.com/patent/US4816567A,Y10S530/866,12642
US-4683202-A,Process for amplifying nucleic acid sequences,https://patents.google.com/patent/US4683202A,C12Q1/6827,12528
US-4683202-B1,,https://patents.google.com/patent/US4683202B1,C12Q1/686,12528
US-4683195-A,"Process for amplifying, detecting, and/or-cloning nucleic acid sequences",https://patents.google.com/patent/US4683195A,C12Q1/686,10364
US-4683195-B1,,https://patents.google.com/patent/US4683195B1,C12Q1/6827,10364
US-5585089-A,Humanized immunoglobulins,https://patents.google.com/patent/US5585089A,A61P31/12,6829
US-5223409-A,Directed evolution of novel binding proteins,https://patents.google.com/patent/US5223409A,C40B40/02,6461
US-4946778-A,Single polypeptide chain binding molecules,https://patents.google.com/patent/US4946778A,C07K2319/036,6254
US-5523520-A,Mutant dwarfism gene of petunia,https://patents.google.com/patent/US5523520A,A01H5/02,5839
US-5892900-A,Systems and methods for secure transaction management and electronic rights protection,https://patents.google.com/patent/US5892900A,G06F2221/2147,5586
US-5225539-A,Recombinant altered antibodies and methods of making altered antibodies,https://patents.google.com/patent/US5225539A,Y10S424/80,5436
US-5530101-A,Humanized immunoglobulins,https://patents.google.com/patent/US5530101A,A61P31/12,5372
US-4733665-B1,"Expandable intraluminal graft,and method and apparatus for implanting an expandable intraluminal graft",https://patents.google.com/patent/US4733665B1,A61F2/91,5310
US-4733665-A,"Expandable intraluminal graft, and method and apparatus for implanting an expandable intraluminal graft",https://patents.google.com/patent/US4733665A,A61F2/07,5310
US-4733665-C2,Expandable intraluminal graft and method and apparatus for implanting an expandable intraluminal graft,https://patents.google.com/patent/US4733665C2,A61F2/915,5310
US-5545806-A,Ransgenic non-human animals for producing heterologous antibodies,https://patents.google.com/patent/US5545806A,C07K16/00,5135
US-6323846-B1,Method and apparatus for integrating manual input,https://patents.google.com/patent/US6323846B1,G06V30/19173,4950
US-5693762-A,Humanized immunoglobulins,https://patents.google.com/patent/US5693762A,A61P37/06,4856
US-5403312-A,Electrosurgical hemostatic device,https://patents.google.com/patent/US5403312A,A61B18/1206,4767
US-2003189401-A1,Organic electroluminescent device,https://patents.google.com/patent/US20030189401A1,H05B33/22,4583
US-7674650-B2,Semiconductor device and manufacturing method thereof,https://patents.google.com/patent/US7674650B2,H01L27/1285,4411
US-2007194379-A1,Amorphous Oxide And Thin Film Transistor,https://patents.google.com/patent/US20070194379A1,H01L29/78696,4362
US-5569825-A,Transgenic non-human animals capable of producing heterologous antibodies of various isotypes,https://patents.google.com/patent/US5569825A,C12N15/907,4357
