"Espacenet";"";"";"";"";"";"";"";"";
"Patentsuche";"";"";"";"";"";"";"";"";
"364 Treffer gefunden für nftxt = ""machine vise"" AND pd <= ""2005-01-01""";"";"";"";"";"";"";"";"";
"Treffer 1 bis 364 angezeigt";"";"";"";"";"";"";"";"";
"Abfragesprache: en / de / fr";"";"";"";"";"";"";"";"";
"Sortierkriterien: Relevanz";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titel";"Erfinder";"Anmelder";"Veröffentlichungsnummer";"Früheste Priorität";"IPC";"CPC";"Veröffentlichungsdatum";"Früheste Veröffentlichung";"Familiennummer";
"1";"Supplemental machine vise";"CHICK JAMES P [US]";"CHICK JAMES P [US]";"US4750722A";"1985-08-07";"B25B1/10 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/24 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2494 (EP,US)";"1988-06-14";"1988-06-14";"025067405";
"2";"Machine vise";"ALBRECHT LUDWIG [DE]";"SAURER ALLMA GMBH [DE]";"US6024352A";"1997-09-20";"B25B1/00 
B23Q11/00 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/24 (EP,US) 
B25B1/2489 (EP,US)";"2000-02-15";"1999-03-18";"007843092";
"3";"Machine vise";"LEHMAN LYNN D [US]";"";"US5377963A";"1993-12-10";"B25B1/10 
B25B1/10 
B25B1/20 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/20 (EP,US) 
B25B1/2468 (EP,US)";"1995-01-03";"1995-01-03";"022596224";
"4";"Machine vise";"STEPHAN III PHILIP [US]";"STEPHAN III PHILIP [US]";"US5094436A";"1991-06-06";"B25B1/08 
B25B1/08 
B25B1/24 
B25B5/08";"B25B1/08 (EP,US) 
B25B1/2478 (EP,US) 
B25B5/08 (EP,US)";"1992-03-10";"1992-03-10";"024859011";
"5";"Machine vise";"AVEDIAN ARAM";"AVEDIAN ARAM";"US4139188A";"1978-03-06";"B25B1/08 
B25B1/08 
B25B1/24";"B25B1/08 (EP,US) 
B25B1/241 (EP,US) 
B25B1/2426 (EP,US)";"1979-02-13";"1979-02-13";"025382477";
"6";"Machine vise";"TAKASUGI TAMOTSU";"TAKASUGI TAMOTSU";"US4221369A";"1979-06-28";"B23Q3/02 
B23Q3/06 
B25B1/02 
B25B1/10 
B25B1/24";"B23Q3/066 (EP,US) 
B25B1/2473 (EP,US)";"1980-09-09";"1980-09-09";"013773732";
"7";"Machine vise with clamping force detector";"HORIE TAKAO [JP] 
SAKAI SYOICHI [JP]";"NABEYA IRON & TOOL WORKS [JP]";"US4738438A";"1985-12-27";"B23Q3/02 
B23Q17/00 
B25B1/24 
G01L5/00";"B23Q1/0018 (EP) 
B23Q17/005 (EP,US) 
B25B1/24 (EP,US) 
B25B1/2473 (EP,US) 
G01L5/009 (EP,US)";"1988-04-19";"1987-07-15";"016495587";
"8";"Machine vise";"BEZUBIK SLAWOMIR J 
LASZCZ STANISLAW";"PRZYRZADOW UCHWYTOW PONAR";"US4232857A";"1978-06-17";"B25B1/12 
B25B1/24";"B25B1/2405 (EP,US)";"1980-11-11";"1979-12-18";"019990015";
"9";"Quick-change head for precision machine vise";"SWANN GEORGE R [US]";"SWANN GEORGE R [US]";"US5024427A";"1989-02-06";"B25B1/10 
B25B1/24";"B25B1/2405 (EP,US) 
B25B1/2452 (EP,US)";"1991-06-18";"1991-06-18";"023185633";
"10";"Compound invertible soft jaw for a machine vise";"DERMODY DONALD JOSEPH [US] 
DERMODY JR DONALD JOSEPH [US]";"";"US2003098538A1 
US6773003B2";"2001-11-27";"B25B1/24 
B25B1/20 
B25B1/24";"B25B1/241 (EP,US)";"2003-05-29 
2004-08-10";"2003-05-29";"025541768";
