"Espacenet";"";"";"";"";"";"";"";"";
"Patentsuche";"";"";"";"";"";"";"";"";
"277 Treffer gefunden für nftxt = ""maschinenschraubstock"" AND pd <= ""2005-01-01""";"";"";"";"";"";"";"";"";
"Treffer 1 bis 277 angezeigt";"";"";"";"";"";"";"";"";
"Abfragesprache: en / de / fr";"";"";"";"";"";"";"";"";
"Sortierkriterien: Relevanz";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titel";"Erfinder";"Anmelder";"Veröffentlichungsnummer";"Früheste Priorität";"IPC";"CPC";"Veröffentlichungsdatum";"Früheste Veröffentlichung";"Familiennummer";
"1";"Maschinenschraubstock.";"SCHULE PETER";"SCHULE PETER";"EP0372563A2 
EP0372563A3";"1988-12-09";"B23Q3/06 
B25B1/10 
B25B1/24 
B25B1/10 
B25B1/24";"B25B1/103 (EP) 
B25B1/2473 (EP)";"1990-06-13 
1991-07-10";"1990-06-13";"006368812";
"2";"Maschinenschraubstock";"ROEHM GUENTER HORST [DE]";"ROEHM GMBH [DE]";"DE10144192A1";"2000-11-16";"B23Q3/06 
B25B1/10 
B25B1/10 
B25B1/12";"B25B1/103 (EP) 
B25B1/125 (EP)";"2002-05-23";"2001-02-01";"007948891";
"3";"Maschinenschraubstock";"ALBRECHT LUDWIG [DE]";"SAURER ALLMA GMBH [DE] 
ALLMATIC JAKOB GMBH & CO SPANN [DE]";"EP0903201A2 
EP0903201A3 
EP0903201B1";"1997-09-20";"B23Q11/00 
B25B1/10 
B25B1/24 
B23Q11/00 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/24 (EP,US) 
B25B1/2489 (EP,US)";"1999-03-24 
2001-11-07 
2004-03-17";"1999-03-18";"007843092";
"4";"Maschinenschraubstock.";"ARNOLD FRANZ [DE] 
KREUZER KONRAD [DE]";"ARNOLD FRANZ [DE]";"EP0460457A2 
EP0460457A3 
EP0460457B1 
EP0460457B2";"1990-06-07";"B23Q3/02 
B25B1/10 
B25B1/24 
B23Q3/02 
B25B1/06 
B25B1/10 
B25B1/14 
B25B1/18 
B25B1/24";"B25B1/106 (EP,US) 
B25B1/18 (EP,US) 
B25B1/2473 (EP,US)";"1991-12-11 
1992-04-01 
1995-03-15 
2000-03-01";"1991-12-11";"025893917";
"5";"Maschinenschraubstock.";"ROHM GUNTER HORST 
PESCH KARL";"ROEHM GUENTER H [DE]";"EP0324057A2 
EP0324057A3";"1987-12-29";"B23Q3/02 
B25B1/10 
B25B1/02 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/24 (EP,US) 
B25B1/2436 (EP,US) 
B25B1/2489 (EP,US)";"1989-07-19 
1990-01-31";"1988-02-11";"006815546";
"6";"Maschinenschraubstock";"WEBER ALBRECHT [DE]";"HILMA ROEMHELD GMBH [DE]";"DE4313900C1";"1993-04-28";"B23Q3/02 
B25B1/00 
B23Q1/26 
B25B1/24";"B23Q1/262 (EP) 
B25B1/24 (EP) 
B25B1/2489 (EP)";"1994-03-17";"1994-03-17";"006486588";
"7";"Maschinenschraubstock.";"KARL BECKERT [CH]";"BECKERT KARL [CH]";"CH249197A";"1945-05-30";"B25B1/24";"B25B1/24 (EP)";"1947-06-15";"1947-06-15";"004467383";
"8";"Maschinenschraubstock.";"MUELLER-ZOLLINGER CIE R [CH] 
MAX GUGGISBERG [CH]";"MUELLER ZOLLINGER & CIE R [CH] 
GUGGISBERG MAX [CH]";"CH252846A";"1946-04-24";"B23Q1/50";"B23Q1/50 (EP)";"1948-01-31";"1948-01-31";"004469659";
"9";"Maschinenschraubstock.";"PAUL PETZOLD [DE]";"PETZOLD PAUL [DE]";"CH108127A";"1923-03-29";"B25B1/22 
F16C11/10";"B25B1/22 (EP) 
F16C11/10 (EP)";"1924-12-16";"1924-12-16";"004367116";
"10";"Maschinenschraubstock.";"FRANZ FUCHS MASCHINENFABRIK [DE]";"FRANZ FUCHS MASCHF [DE]";"CH131156A";"1928-02-02";"B25B1/24";"B25B1/24 (EP)";"1929-01-31";"1929-01-31";"004389459";
